run_dir,method,epoch,round,train_loss,val_loss,phase,client_id,val_rmse,val_mae,is_best_round,best_round,personal_ft_best_epoch
final_fedavg_seed42,fedavg,6,6,,-2.6605008619021526,post_agg_val,19.0,4.06067434946696,3.727846384048462,False,3.0,
final_fedavg_seed42,fedavg,6,6,,-2.127248310409816,post_agg_val,20.0,6.542070070902507,5.917280832926433,False,3.0,
final_fedavg_seed42,fedavg,7,7,-2.9173183470326265,-2.726628008470997,post_agg_val,,3.248883093145229,2.9835803377358494,False,3.0,
final_fedavg_seed42,fedavg,7,7,,-2.8005680887005,post_agg_val,1.0,3.0788431962331138,2.8111935456593837,False,3.0,
final_fedavg_seed42,fedavg,7,7,,-2.7974465494396306,post_agg_val,2.0,3.1099448204040527,2.716288169225057,False,3.0,
final_fedavg_seed42,fedavg,7,7,,-2.816821202172173,post_agg_val,3.0,2.944545348485311,2.743157466252645,False,3.0,
final_fedavg_seed42,fedavg,7,7,,-2.883121981340296,post_agg_val,4.0,2.3300154209136963,1.9525137742360432,False,3.0,
final_fedavg_seed42,fedavg,7,7,,-2.891302244433798,post_agg_val,5.0,2.249011238416036,2.021668791770935,False,3.0,
final_fedavg_seed42,fedavg,7,7,,-2.693929904357977,post_agg_val,6.0,3.834711710611979,3.7118965784708657,False,3.0,
final_fedavg_seed42,fedavg,7,7,,-2.9154854551274725,post_agg_val,7.0,1.9565695524215696,1.7830096085866292,False,3.0,
final_fedavg_seed42,fedavg,7,7,,-2.4341412629021537,post_agg_val,8.0,5.24508810043335,5.103012243906657,False,3.0,
final_fedavg_seed42,fedavg,7,7,,-2.0295371314753656,post_agg_val,9.0,6.891338348388672,6.723024686177571,False,3.0,
final_fedavg_seed42,fedavg,7,7,,-2.979554708279557,post_agg_val,10.0,0.9856009682019552,0.8053607940673828,False,3.0,
final_fedavg_seed42,fedavg,7,7,,-2.4362602051268234,post_agg_val,11.0,5.235313892364502,5.170606931050618,False,3.0,
final_fedavg_seed42,fedavg,7,7,,-2.845376228031359,post_agg_val,12.0,2.700206995010376,2.405712604522705,False,3.0,
final_fedavg_seed42,fedavg,7,7,,-2.9431210530770797,post_agg_val,13.0,1.6323343912760415,1.4414491256078084,False,3.0,
final_fedavg_seed42,fedavg,7,7,,-2.8090525601817444,post_agg_val,14.0,3.027508894602457,2.456350525220236,False,3.0,
final_fedavg_seed42,fedavg,7,7,,-2.9849260274876546,post_agg_val,15.0,0.8479197025299072,0.7326783339182535,False,3.0,
final_fedavg_seed42,fedavg,7,7,,-2.8686551886089777,post_agg_val,16.0,2.488100330034892,2.091118137041728,False,3.0,
final_fedavg_seed42,fedavg,7,7,,-2.929870971734973,post_agg_val,17.0,1.7614907026290894,1.6407687664031982,False,3.0,
final_fedavg_seed42,fedavg,7,7,,-2.794577505578639,post_agg_val,18.0,3.12567130724589,2.856010834376017,False,3.0,
