run_dir,method,client_id,n_samples,avg_mae,avg_rmse,mae_h1,rmse_h1,mae_h2,rmse_h2,mae_h3,rmse_h3
final_local_seed42,local,11,513,2.447349508603414,2.544671138127645,2.8713321685791016,2.957730770111084,1.9235252141952517,2.041372060775757,2.5471911430358887,2.6349105834960938
final_local_seed42,local,12,500,3.2971012592315674,3.468562364578247,2.846775531768799,3.036966562271118,3.226935386657715,3.402815341949463,3.817592859268189,3.96590518951416
final_local_seed42,local,13,490,1.6797134081522624,1.9962196747461955,1.1397640705108645,1.5219238996505735,2.766634702682495,2.956608533859253,1.1327414512634275,1.5101265907287598
final_local_seed42,local,14,497,0.8839734594027201,1.009155849615733,1.0999188423156738,1.2245010137557983,0.5351702570915222,0.6618526577949524,1.0168312788009644,1.1411138772964478
final_local_seed42,local,15,408,1.686471263567607,1.8680555820465088,1.515573501586914,1.7191883325576782,1.4748607873916626,1.6664665937423706,2.068979501724243,2.218511819839477
final_local_seed42,local,16,518,0.9391581217447916,1.1424980560938518,0.6604723930358887,0.810222864151001,1.309035062789917,1.5463546514511108,0.8479669094085693,1.0709166526794434
final_local_seed42,local,17,460,1.807609607776006,1.944670140743256,2.5118308067321777,2.653092384338379,2.4200613498687744,2.5075924396514893,0.490936666727066,0.6733255982398987
final_local_seed42,local,18,525,3.541532039642334,3.774631977081299,3.873525381088257,4.090184688568115,3.916162490844727,4.138236999511719,2.8349082469940186,3.0954742431640625
final_local_seed42,local,19,496,3.082849264144897,3.1203150749206543,3.4323198795318604,3.461181402206421,2.6311357021331787,2.6753454208374023,3.1850922107696533,3.22441840171814
final_local_seed42,local,20,497,4.339939514795939,4.4091432094573975,3.160640001296997,3.2429897785186768,5.297634601593018,5.35215950012207,4.561543941497803,4.632280349731445
final_proposed_seed42,proposed,1,518,1.4794371525446577,1.5568962891896565,1.9044615030288696,1.960777759552002,1.1383119821548462,1.2408820390701294,1.3955379724502563,1.4690290689468384
final_proposed_seed42,proposed,2,520,3.1149535179138184,3.2154130935668945,3.116539001464844,3.213622093200684,3.0543508529663086,3.1537117958068848,3.1739706993103027,3.2789053916931152
final_proposed_seed42,proposed,3,494,1.019427518049876,1.1778979500134783,1.5853441953659058,1.7626534700393677,0.9050722122192384,1.0532677173614502,0.5678661465644836,0.7177726626396179
final_proposed_seed42,proposed,4,520,0.6454871694246928,0.7924524148305258,0.7778005599975586,0.9282995462417604,0.554964542388916,0.6946663856506348,0.6036964058876038,0.7543913125991821
final_proposed_seed42,proposed,5,523,1.5167696674664817,1.6252716183662417,1.8975874185562132,1.9807499647140503,0.7824676632881165,0.9400528073310852,1.8702539205551147,1.9550120830535889
